ranking,ranking_chg,name_zh,name_en,valuation,key_person,headquarter,industry,investors
54,New,甘李药业,Ganlee,100,甘忠如,北京,医疗健康,启明创投、高瓴资本、高盛
54,1↓,哈罗单车,Hellobike,100,杨磊,上海,互联网服务,纪源资本、磐谷创投、愉悦资本、蚂蚁金服
54,1↓,孩子王,Kidswant,100,汪建国,南京,电子商务,华平投资、景林投资、高瓴资本
54,1↓,寒武纪科技,Cambricon,100,陈天石,北京,智能硬件,国投创业、阿里巴巴、联想创投
54,New,合全药业,Syntheall,100,李革,上海,医疗健康,红杉资本
54,1↓,惠民网,Huimin,100,张一春,北京,电子商务,西部优势资本、中合担保
54,New,汇桔网,WTOIP,100,谢旭辉,广州,互联网服务,粤民投、厚朴投资
54,1↓,界面,Jiemian,100,何力,上海,文化娱乐,昆仑信托
54,1↓,金山云,Ksyun,100,王育林,北京,大数据与云计算,IDG、金山软件、小米
54,1↓,拉卡拉,Lakala,100,孙陶然,北京,互联网金融,君联资本、富鑫国际、晨兴资本
54,1↓,驴妈妈,lvmama,100,洪清华,上海,互联网服务,红杉资本、鼎晖创投
54,New,马蜂窝,Mafengwo,100,陈罡,北京,互联网服务,今日资本、启明创投、高瓴资本
54,1↓,芒果TV,Mgtv,100,张勇,长沙,文化娱乐,联新资本、上海国和、厦门建发
54,1↓,每日优鲜,Missfresh,100,徐正,北京,电子商务,光信资本、腾讯、浙商创投
54,1↓,蜜芽,Mia,100,刘楠,北京,电子商务,百度、红杉资本、真格基金
54,38↑,纳恩博,Ninebot,100,高禄峰,天津,智能硬件,红杉资本、小米、顺为资本
54,New,盘石股份,Panshi,100,田宁,杭州,大数据与云计算,赛伯乐、韩亚金融集团、建信信托
54,New,全棉时代,Winner,100,李建全,深圳,医疗健康,红杉资本
54,New,软通动力,iSoftstone,100,刘天文,北京,互联网服务,红杉资本、达晨创投 、华兴新经济基金、易方达基金
54,1↓,苏宁体育,Suning Sports,100,张近东,南京,文化娱乐,高盛
54,1↓,淘票票,Taobao Dianying,100,俞永福,杭州,互联网服务,蚂蚁金服、鼎晖投资、新浪
54,1↓,天下秀,IMS,100,李檬,北京,互联网服务,新浪、软银赛富、摩根士丹利
54,50↑,途虎养车,Tuhu,100,陈敏,上海,互联网服务,高瓴资本、启明创投、君联资本、红杉资本
54,1↓,途家网,Tujia,100,罗军,北京,互联网服务,携程、纪源资本、启明创投
54,1↓,土巴兔,Tubatu,100,王国彬,深圳,互联网服务,红杉资本、经纬中国、58同城
54,1↓,微店,Weidian,100,王珂,北京,电子商务,腾讯、华平资本、经纬中国
54,1↓,微鲸,Whaley,100,黎瑞刚,上海,智能硬件,腾讯、华人文化产业基金
54,1↓,信达生物,Innovent Bio,100,俞德超,苏州,医疗健康,国投创新、君联资本、淡马锡、高瓴资本
54,1↓,依图科技,YITU,100,朱珑,上海,人工智能,云锋基金、红杉资本、真格基金、高瓴资本
54,1↓,亿邦国际,Ebang,100,胡东,杭州,区块链,未透露
